Value Set ID	Refset ID	Title	Description	Update Type
canshare-t-nk-cell-lymphoid-substream	302581000210102	NZ cancer T/NK-cell lymphoid substream reference set	The subcategory of T/NK-cell lymphoid haematologic cancer being assessed and/or treated.	To be created
canshare-leukaemia-substream	302591000210100	NZ cancer leukaemia substream reference set	The subcategory of leukaemia haematologic cancer being assessed and/or treated.	To be created
canshare-lymphoma-substream	302601000210105	NZ cancer lymphoma substream reference set	The subcategory of lymphoma haematologic cancer being assessed and/or treated.	To be created
canshare-cancer-type	297871000210108	NZ cancer type reference set	The type of primary cancer being assessed.	To be created
cancer-solid-tumour-cancer-type	302611000210107	NZ cancer solid tumour cancer type reference set	The type of the primary solid cancer being assessed and/or treated.	To be created
canshare-cns-cancer-type	302691000210104	NZ cancer CNS cancer type reference set	The type of the primary CNS solid cancer being assessed and/or treated.	To be created
canshare-gastro-cancer-type	302621000210102	NZ cancer gastrointestinal cancer type reference set	The type of the primary gastrointestinal solid cancer being assessed and/or treated.	To be created
canshare-upper-gastro-cancer-type	302701000210104	NZ cancer upper gastrointestinal cancer type reference set	The type of the primary upper gastrointestinal solid cancer being assessed and/or treated.	To be created
canshare-lower-gastro-cancer-type	302631000210100	NZ cancer lower gastrointestinal cancer type reference set	The type of the primary lower gastrointestinal solid cancer being assessed and/or treated.	To be created
canshare-colorectal-cancer-type	302831000210104	NZ cancer colorectal cancer type reference set	The type of the primary colorectal solid cancer being assessed and/or treated.	To be created
canshare-hepatopancreaticobiliary-cancer-type	302841000210107	NZ cancer hepatopancreaticobiliary cancer type reference set	The type of the primary hepatopancreaticobiliary solid cancer being assessed and/or treated.	To be created
canshare-genitourinary-cancer-type	302641000210108	NZ cancer genitourinary cancer type reference set	The type of the primary genitourinary solid cancer being assessed and/or treated.	To be created
canshare-male-genital-cancer-type	302851000210105	NZ cancer male genital cancer type reference set	The type of the primary male genital solid cancer being assessed and/or treated.	To be created
canshare-non-prostate-genitourinary-cancer-type	303331000210100	NZ cancer genitourinary (non-prostate) cancer type reference set	The type of primary non-prostate genitourinary solid cancer being assessed and/or treated.	To be created
canshare-urinary-system-cancer-type	302861000210108	NZ cancer urinary system cancer type reference set	The type of the primary solid cancer being assessed and/or treated.	To be created
canshare-gynaecological-cancer-type	302871000210102	NZ cancer gynaecological cancer type reference set	The type of the primary gynaecological solid cancer being assessed and/or treated.	To be created
canshare-head-neck-cancer-type	302881000210100	NZ cancer head and neck cancer type reference set	The type of the primary head and/or neck solid cancer being assessed and/or treated.	To be created
canshare-endocrine-neuroendocrine-cancer-type	302651000210106	NZ cancer endocrine and/or neuroendocrine cancer type reference set	The type of the primary endocrine and/or neuroendocrine solid cancer being assessed and/or treated.	To be created
canshare-neuroendocrine-cancer-type	302661000210109	NZ cancer neuroendocrine cancer type reference set	The type of the primary neuroendocrine solid cancer being assessed and/or treated.	To be created
canshare-neuroendocrine-gep-cancer-type	302891000210103	NZ cancer neuroendocrine GEP cancer type reference set	The type of the primary solid cancer being assessed and/or treated.	To be created
canshare-neuroendocrine-non-gep-cancer-type	302901000210102	NZ cancer neuroendocrine non-GEP cancer type reference set	The type of the primary solid cancer being assessed and/or treated.	To be created
canshare-endocrine-cancer-type	302911000210100	NZ cancer endocrine cancer type reference set	The type of the primary endocrine solid cancer being assessed and/or treated.	To be created
canshare-soft-tissue-bone-cancer-type	302671000210103	NZ cancer soft tissue and/or bone cancer type reference set	The type of the primary soft tissue and/or bone solid cancer being assessed and/or treated.	To be created
canshare-soft-tissue-cancer-type	302921000210105	NZ cancer soft tissue cancer type reference set	The type of the primary soft tissue solid cancer being assessed and/or treated.	To be created
canshare-skin-melanoma-cancer-type	302681000210101	NZ cancer skin and/or melanoma cancer type reference set	The type of the primary skin and/or melanoma solid cancer being assessed and/or treated.	To be created
canshare-skin-cancer-type	302931000210107	NZ cancer skin cancer type reference set	The type of the primary skin solid cancer being assessed and/or treated.	To be created
canshare-melanoma-cancer-type	302941000210104	NZ cancer melanoma cancer type reference set	The type of the primary melanoma solid cancer being assessed and/or treated.	To be created
canshare-thoracic-cancer-type	302951000210101	NZ cancer thoracic cancer type reference set	The type of the primary thoracic solid cancer being assessed and/or treated.	To be created
canshare-haematology-cancer-type	302711000210102	NZ cancer haematology cancer type reference set	The type of haematologic cancer being assessed and/or treated.	To be created
canshare-myeloproliferative-cancer-type	302751000210103	NZ cancer myeloproliferative cancer type reference set	The type of myeloproliferative haematologic cancer being assessed and/or treated.	To be created
canshare-b-cell-lymphoid-cancer-type	302721000210107	NZ cancer B-cell lymphoid cancer type reference set	The type of B-cell lymphoid haematologic cancer being assessed and/or treated.	To be created
canshare-plasma-cell-cancer-type	302781000210108	NZ cancer plasma cell cancer type reference set	The type of plasma cell haematologic cancer being assessed and/or treated.	To be created
canshare-t-nk-cell-lymphoid-cancer-type	302761000210100	NZ cancer T/NK-cell lymphoid cancer type reference set	The type of T/ NK-cell lymphoid haematologic cancer being assessed and/or treated.	To be created
canshare-leukaemia-cancer-type	302741000210101	NZ cancer leukaemia cancer type reference set	The type of leukaemia haematologic cancer being assessed and/or treated.	To be created
canshare-acute-leukaemia-cancer-type	302791000210105	NZ cancer acute leukaemia cancer type reference set	The type of acute leukaemia haematologic cancer being assessed and/or treated.	To be created
canshare-chronic-leukaemia-cancer-type	302801000210109	NZ cancer chronic leukaemia cancer type reference set	The type of chronic leukaemia haematologic cancer being assessed and/or treated.	To be created
canshare-lymphoma-cancer-type	302731000210109	NZ cancer lymphoma cancer type reference set	The type of lymphoma haematologic cancer being assessed and/or treated.	To be created
canshare-b-cell-lymphoma-cancer-type	302771000210106	NZ cancer B-cell lymphoma cancer type reference set	The type of B-cell lymphoma haematologic cancer being assessed and/or treated.	To be created
canshare-t-nk-cell-lymphoma-cancer-type	302811000210106	NZ cancer T/NK-cell lymphoma cancer type reference set	The type of T/NK-cell lymphoma haematologic cancer being assessed and/or treated.	To be created
canshare-non-hodgkin-lymphoma-cancer-type	302821000210101	NZ cancer non-Hodgkin lymphoma cancer type reference set	The type of non-Hodgkin lymphoma haematologic cancer being assessed and/or treated.	To be created
canshare-basis-of-cancer-diagnosis	301761000210107	NZ cancer basis of diagnosis reference set	Types of evidence that may be used to reach a cancer diagnosis	To be created
canshare-topography	253141000210105	NZ cancer topography reference set	The body location used to describe the point of origin for all cancer types	To be created
canshare-high-level-topography	296931000210100	NZ cancer high level topography reference set	The high-level body location used to describe the point of origin for all cancer types	To be created
canshare-breast-topography	253151000210108	NZ cancer breast topography reference set	The body location used to describe the point of origin for breast cancer	To be created
canshare-thorax-topography	294701000210102	NZ cancer thorax topography reference set	The body location used to describe the point of origin for thorax cancer	To be created
canshare-thorax-thymus-topography	296941000210108	NZ cancer thorax thymus topograpy reference set	The body location used to describe the point of origin for thymus cancer	To be created
canshare-thorax-lung-topography	296951000210106	NZ cancer thorax lung topograpy reference set	The body location used to describe the point of origin for lung cancer	To be created
canshare-thorax-pleura-topography	296961000210109	NZ cancer thorax pleura topograpy reference set	The body location used to describe the point of origin for pleura cancer	To be created
canshare-unknown-site-topography	294711000210100	NZ cancer unknown site topography reference set	The unknown body location of a cancer	To be created
canshare-who5-breast-histology	253221000210107	NZ WHO breast histology reference set (5th edition)	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition) 	To be created
canshare-who-breast-histology	253221000210107	NZ WHO breast histology reference set	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition) 	To be created
canshare-who5-breast-epithelial-histology	300131000210109	NZ WHO breast epithelial histology reference set (5th edition)	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition - 2. Epithelial tumours of the breast) 	To be created
canshare-who-breast-epithelial-histology	300131000210109	NZ WHO breast epithelial histology reference set	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition - 2. Epithelial tumours of the breast) 	To be created
canshare-who5-breast-fibroepithelial-hamartoma-histology	300141000210101	NZ WHO breast fibroepithelial tumour and/or hamartoma histology reference set (5th edition)	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition - 3. Fibroepithelial tumours and hamartomas of the breast) 	To be created
canshare-who-breast-fibroepithelial-hamartoma-histology	300141000210101	NZ WHO breast fibroepithelial tumour and/or hamartoma histology reference set	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition - 3. Fibroepithelial tumours and hamartomas of the breast) 	To be created
canshare-who5-breast-nipple-histology	300151000210103	NZ WHO breast tumour of nipple histology reference set (5th edition)	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition - 4. Tumours of the nipple) 	To be created
canshare-who-breast-nipple-histology	300151000210103	NZ WHO breast tumour of nipple histology reference set	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition - 4. Tumours of the nipple) 	To be created
canshare-who5-breast-mesenchymal-histology	300161000210100	NZ WHO breast mesenchymal histology reference set (5th edition)	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition - 5. Mesenchymal tumours of the breast) 	To be created
canshare-who-breast-mesenchymal-histology	300161000210100	NZ WHO breast mesenchymal histology reference set	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition - 5. Mesenchymal tumours of the breast) 	To be created
canshare-who5-breast-haematolymphoid-histology	300181000210108	NZ WHO breast haematolymphoid histology reference set (5th edition)	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition - 6. Haematolymphoid tumours of the breast) 	To be created
canshare-who-breast-haematolymphoid-histology	300181000210108	NZ WHO breast haematolymphoid histology reference set	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition - 6. Haematolymphoid tumours of the breast) 	To be created
canshare-who5-breast-male-histology	300191000210105	NZ WHO male breast histology reference set (5th edition)	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition - 7. Tumours of the male breast) 	To be created
canshare-who-breast-male-histology	300191000210105	NZ WHO male breast histology reference set	Histologies used for breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition - 7. Tumours of the male breast) 	To be created
canshare-who5-breast-benign-histology	303021000210104	NZ WHO breast benign histology reference set (5th edition)	Histologies used for benign breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition)	To be created
canshare-who-breast-benign-histology	303021000210104	NZ WHO breast benign histology reference set	Histologies used for benign breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition)	To be created
canshare-who5-breast-invasive-carcinoma-histology	303031000210102	NZ WHO breast invasive carcinoma histology reference set (5th edition)	Histologies used for invasive carcinoma breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition)	To be created
canshare-who-breast-invasive-carcinoma-histology	303031000210102	NZ WHO breast invasive carcinoma histology reference set	Histologies used for invasive carcinoma breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition)	To be created
canshare-who5-breast-in-situ-carcinoma-histology	303041000210105	NZ WHO breast ductal carcinoma in situ histology reference set (5th edition)	Histologies used for in situ carcinoma breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition)	To be created
canshare-who-breast-in-situ-carcinoma-histology	303041000210105	NZ WHO breast ductal carcinoma in situ histology reference set	Histologies used for in situ carcinoma breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition)	To be created
canshare-who5-breast-uncertain-borderline-histology	303051000210108	NZ WHO breast uncertain and/or borderline histology reference set (5th edition)	Histologies used for uncertain and/or borderline breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition)	To be created
canshare-who-breast-uncertain-borderline-histology	303051000210108	NZ WHO breast uncertain and/or borderline histology reference set	Histologies used for uncertain and/or borderline breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition)	To be created
canshare-who5-breast-neuroendocrine-histology	303061000210106	NZ WHO breast neuroendocrine histology reference set (5th edition)	Histologies used for neuroendocrine breast cancer types (WHO Classification of Tumours, Breast Tumours, 5th edition)	To be created
canshare-who-breast-neuroendocrine-histology	303061000210106	NZ WHO breast neuroendocrine histology reference set	Histologies used for neuroendocrine breast cancer types (WHO Classification of Tumours, Breast Tumours, latest edition)	To be created
canshare-who5-female-genital-histology	294681000210104	NZ WHO female genital histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition) 	To be created
canshare-who-female-genital-histology	294681000210104	NZ WHO female genital histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition) 	To be created
canshare-who5-female-genital-ovary-histology	300201000210107	NZ WHO female genital ovary histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 2. Tumours of the ovary) 	To be created
canshare-who-female-genital-ovary-histology	300201000210107	NZ WHO female genital ovary histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 2. Tumours of the ovary) 	To be created
canshare-who5-female-genital-peritoneum-histology	300211000210109	NZ WHO female genital peritoneum histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 4. Tumours of the peritoneum) 	To be created
canshare-who-female-genital-peritoneum-histology	300211000210109	NZ WHO female genital peritoneum histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 4. Tumours of the peritoneum) 	To be created
canshare-who5-female-genital-fallopian-tube-histology	300221000210104	NZ WHO female genital fallopian tube histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 5. Tumours of the fallopian tube) 	To be created
canshare-who-female-genital-fallopian-tube-histology	300221000210104	NZ WHO female genital fallopian tube histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 5. Tumours of the fallopian tube) 	To be created
canshare-who5-female-genital-uterine-ligament-histology	300231000210102	NZ WHO female genital uterine ligament histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 6. Tumours of the broad ligament and other uterine ligaments) 	To be created
canshare-who-female-genital-uterine-ligament-histology	300231000210102	NZ WHO female genital uterine ligament histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 6. Tumours of the broad ligament and other uterine ligaments) 	To be created
canshare-who5-female-genital-uterine-corpus-histology	300241000210105	NZ WHO female genital uterine corpus histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 7. Tumours of the uterine corpus) 	To be created
canshare-who-female-genital-uterine-corpus-histology	300241000210105	NZ WHO female genital uterine corpus histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 7. Tumours of the uterine corpus) 	To be created
canshare-who5-female-genital-gestational-trophoblastic-histology	300251000210108	NZ WHO female genital gestational trophoblastic disease histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 8. Gestational trophoblastic disease) 	To be created
canshare-who-female-genital-gestational-trophoblastic-histology	300251000210108	NZ WHO female genital gestational trophoblastic disease histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 8. Gestational trophoblastic disease) 	To be created
canshare-who5-female-genital-uterine-cervix-histology	300261000210106	NZ WHO female genital uterine cervix histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 9. Tumours of the uterine cervix) 	To be created
canshare-who-female-genital-uterine-cervix-histology	300261000210106	NZ WHO female genital uterine cervix histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 9. Tumours of the uterine cervix) 	To be created
canshare-who5-female-genital-vagina-histology	300271000210100	NZ WHO female genital vagina histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 10. Tumours of the vagina) 	To be created
canshare-who-female-genital-vagina-histology	300271000210100	NZ WHO female genital vagina histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 10. Tumours of the vagina) 	To be created
canshare-who5-female-genital-vulva-histology	300281000210103	NZ WHO female genital vulva histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 11. Tumours of the vulva) 	To be created
canshare-who-female-genital-vulva-histology	300281000210103	NZ WHO female genital vulva histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 11. Tumours of the vulva) 	To be created
canshare-who5-female-genital-neuroendocrine-histology	300291000210101	NZ WHO female genital neuroendocrine histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 12. Neuroendocrine neoplasia) 	To be created
canshare-who-female-genital-neuroendocrine-histology	300291000210101	NZ WHO female genital neuroendocrine histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 12. Neuroendocrine neoplasia) 	To be created
canshare-who5-female-genital-haematolymphoid-histology	300301000210102	NZ WHO female genital haematolymphoid histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 13. Haematolymphoid proliferations and neoplasia) 	To be created
canshare-who-female-genital-haematolymphoid-histology	300301000210102	NZ WHO female genital haematolymphoid histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 13. Haematolymphoid proliferations and neoplasia) 	To be created
canshare-who5-female-genital-mesenchymal-histology	300311000210100	NZ WHO female genital mesenchymal tumour of lower genital tract histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 14. Mesenchymal tumours of lower genital tract) 	To be created
canshare-who-female-genital-mesenchymal-histology	300311000210100	NZ WHO female genital mesenchymal tumour of lower genital tract histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 14. Mesenchymal tumours of lower genital tract) 	To be created
canshare-who5-female-genital-melanocytic-histology	300321000210105	NZ WHO female genital melanocytic lesion histology reference set (5th edition)	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, 5th edition - 15. Melanocytic lesions) 	To be created
canshare-who-female-genital-melanocytic-histology	300321000210105	NZ WHO female genital melanocytic lesion histology reference set	Histologies used for female genital cancer types (WHO Classification of Tumours, Female Genital Tumours, latest edition - 15. Melanocytic lesions) 	To be created
canshare-who5-urinary-male-genital-histology	300331000210107	NZ WHO urinary and/or male genital histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition) 	To be created
canshare-who-urinary-male-genital-histology	300331000210107	NZ WHO urinary and/or male genital histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition) 	To be created
canshare-who5-urinary-male-genital-kidney-histology	300341000210104	NZ WHO urinary and/or male genital kidney histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition - 2. Tumours of the kidney) 	To be created
canshare-who-urinary-male-genital-kidney-histology	300341000210104	NZ WHO urinary and/or male genital kidney histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition - 2. Tumours of the kidney) 	To be created
canshare-who5-urinary-male-genital-urinary-tract-histology	300351000210101	NZ WHO urinary and/or male genital urinary tract histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition - 3. Tumours of the urinary tract) 	To be created
canshare-who-urinary-male-genital-urinary-tract-histology	300351000210101	NZ WHO urinary and/or male genital urinary tract histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition - 3. Tumours of the urinary tract) 	To be created
canshare-who5-urinary-male-genital-prostate-histology	300361000210103	NZ WHO urinary and/or male genital prostate histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition - 4. Tumours of the prostate) 	To be created
canshare-who-urinary-male-genital-prostate-histology	300361000210103	NZ WHO urinary and/or male genital prostate histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition - 4. Tumours of the prostate) 	To be created
canshare-who5-urinary-male-genital-seminal-vesicle-histology	300371000210109	NZ WHO urinary and/or male genital seminal vesicle histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition - 5. Tumours of the seminal vesicle) 	To be created
canshare-who-urinary-male-genital-seminal-vesicle-histology	300371000210109	NZ WHO urinary and/or male genital seminal vesicle histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition - 5. Tumours of the seminal vesicle) 	To be created
canshare-who5-urinary-male-genital-testis-histology	300381000210106	NZ WHO urinary and/or male genital testis histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition - 6. Tumours of the testis) 	To be created
canshare-who-urinary-male-genital-testis-histology	300381000210106	NZ WHO urinary and/or male genital testis histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition - 6. Tumours of the testis) 	To be created
canshare-who5-urinary-male-genital-testicular-adnexa-histology	300391000210108	NZ WHO urinary and/or male genital testicular adnexa histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition - 7. Tumours of the tesicular adnexa) 	To be created
canshare-who-urinary-male-genital-testicular-adnexa-histology	300391000210108	NZ WHO urinary and/or male genital testicular adnexa histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition - 7. Tumours of the tesicular adnexa) 	To be created
canshare-who5-urinary-male-genital-penis-scrotum-histology	300401000210106	NZ WHO urinary and/or male genital penis and/or scrotum histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition - 8. Tumours of the penis and scrotum) 	To be created
canshare-who-urinary-male-genital-penis-scrotum-histology	300401000210106	NZ WHO urinary and/or male genital penis and/or scrotum histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition - 8. Tumours of the penis and scrotum) 	To be created
canshare-who5-urinary-male-genital-neuroendocrine-histology	300411000210108	NZ WHO urinary and/or male genital neuroendocrine histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition - 9. Neuroendocrine neoplasms) 	To be created
canshare-who-urinary-male-genital-neuroendocrine-histology	300411000210108	NZ WHO urinary and/or male genital neuroendocrine histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition - 9. Neuroendocrine neoplasms) 	To be created
canshare-who5-urinary-male-genital-mesenchymal-histology	300421000210103	NZ WHO urinary and/or male genital mesenchymal histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition - 10. Mesenchymal tumours) 	To be created
canshare-who-urinary-male-genital-mesenchymal-histology	300421000210103	NZ WHO urinary and/or male genital mesenchymal histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition - 10. Mesenchymal tumours) 	To be created
canshare-who5-urinary-male-genital-haematolymphoid-histology	300431000210101	NZ WHO urinary and/or male genital haematolymphoid histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition - 11. Haematolymphoid tumours) 	To be created
canshare-who-urinary-male-genital-haematolymphoid-histology	300431000210101	NZ WHO urinary and/or male genital haematolymphoid histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition - 11. Haematolymphoid tumours) 	To be created
canshare-who5-urinary-male-genital-melanocytic-histology	300441000210109	NZ WHO urinary and/or male genital melanocytic lesion histology reference set (5th edition)	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, 5th edition - 12. Melanocytic lesions) 	To be created
canshare-who-urinary-male-genital-melanocytic-histology	300441000210109	NZ WHO urinary and/or male genital melanocytic lesion histology reference set	Histologies used for urinary and male genital cancer types (WHO Classification of Tumours, Urinary & Male Genital Tumours, latest edition - 12. Melanocytic lesions) 	To be created
canshare-who5-thoracic-histology	294691000210102	NZ WHO thoracic histology reference set (5th edition)	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, 5th edition) 	To be created
canshare-who-thoracic-histology	294691000210102	NZ WHO thoracic histology reference set	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, latest edition) 	To be created
canshare-who5-thoracic-thymus-histology	299451000210105	NZ WHO thoracic thymus histology reference set (5th edition)	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, 5th edition) 6. Tumours of the thymus	To be created
canshare-who-thoracic-thymus-histology	299451000210105	NZ WHO thoracic thymus histology reference set	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, latest edition) 6. Tumours of the thymus	To be created
canshare-who5-thoracic-pleura-pericardium-histology	299471000210102	NZ WHO thoracic pleura and/or pericardium histology reference set (5th edition)	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, 5th edition) 3. Tumours of the pleura and pericardium	To be created
